,gid,geom
0,245,"LINESTRING(16.9233099071229 44.6756932263978,22.3466190972572 39.7215390187579)"
1,244,"LINESTRING(16.9233099071229 44.6756932263978,23.240990157222 43.3262257705369)"
2,243,"LINESTRING(22.3466190972572 39.7215390187579,23.240990157222 43.3262257705369)"
3,242,"LINESTRING(23.3770364994363 46.2266472283013,23.240990157222 43.3262257705369)"
4,241,"LINESTRING(23.3770364994363 46.2266472283013,16.9233099071229 44.6756932263978)"
5,240,"LINESTRING(16.9069849146984 49.3485147527182,23.3770364994363 46.2266472283013)"
6,239,"LINESTRING(19.4033436459126 52.1237327983484,16.9069849146984 49.3485147527182)"
7,238,"LINESTRING(12.1986360857246 47.3319333674616,23.3770364994363 46.2266472283013)"
8,237,"LINESTRING(12.1986360857246 47.3319333674616,16.9069849146984 49.3485147527182)"
9,236,"LINESTRING(12.1986360857246 47.3319333674616,16.9233099071229 44.6756932263978)"
10,235,"LINESTRING(12.0782779997744 42.7899649555031,22.3466190972572 39.7215390187579)"
11,234,"LINESTRING(12.0782779997744 42.7899649555031,16.9233099071229 44.6756932263978)"
12,233,"LINESTRING(12.1986360857246 47.3319333674616,12.0782779997744 42.7899649555031)"
13,232,"LINESTRING(26.2563912225786 64.4915601801902,24.7337793211928 56.807440577489)"
14,231,"LINESTRING(18.054616 59.356203,19.4033436459126 52.1237327983484)"
15,230,"LINESTRING(18.054616 59.356203,26.2563912225786 64.4915601801902)"
16,229,"LINESTRING(10.775504 59.91176,18.054616 59.356203)"
17,228,"LINESTRING(9.39739 56.447971,18.054616 59.356203)"
18,227,"LINESTRING(9.39739 56.447971,10.775504 59.91176)"
19,226,"LINESTRING(10.3939781462623 51.1121865136863,16.9069849146984 49.3485147527182)"
20,225,"LINESTRING(10.3939781462623 51.1121865136863,19.4033436459126 52.1237327983484)"
21,224,"LINESTRING(10.3939781462623 51.1121865136863,12.1986360857246 47.3319333674616)"
22,223,"LINESTRING(10.3939781462623 51.1121865136863,18.054616 59.356203)"
23,222,"LINESTRING(10.3939781462622 51.1121865136854,9.39739 56.447971)"
24,221,"LINESTRING(5.2098969595839 51.4907437304659,10.3939781462623 51.1121865136863)"
25,220,"LINESTRING(2.55357011197143 46.558901709638,12.0782779997744 42.7899649555031)"
26,219,"LINESTRING(2.55357011197143 46.558901709638,12.1986360857246 47.3319333674616)"
27,218,"LINESTRING(2.55357011197143 46.558901709638,10.3939781462623 51.1121865136863)"
28,217,"LINESTRING(2.55357011197143 46.558901709638,5.2098969595839 51.4907437304659)"
29,216,"LINESTRING(-4.38444508408126 40.1326524151116,2.55357011197143 46.558901709638)"
30,215,"LINESTRING(-1.148414 52.944188,2.55357011197143 46.558901709638)"
31,214,"LINESTRING(-8.15334826673402 53.1802686722533,-1.148414 52.944188)"
